7,24,0
20,19,9
23,15,10
2,19,1
2,1,10
23,2,9
0,22,5
3,4,1
10,1,2
22,16,3
21,5,2
13,5,5
21,22,4
13,21,8
2,17,10
5,11,7
12,8,9
2,2,4
3,24,7
7,4,6
2,10,9
7,18,2
9,19,7
6,21,6
6,8,4
20,21,9
3,10,7
1,14,1
19,0,2
10,15,8
22,18,10
18,8,2
12,5,7
16,7,4
1,4,1
23,15,4
5,4,4
15,3,3
1,17,3
23,0,4
15,20,7
13,14,9
12,10,7
5,17,8
24,20,5
23,16,6
6,2,8
16,14,5
9,21,5
9,14,8
13,1,5
19,16,4
7,5,1
18,22,8
3,6,0
23,4,1
9,19,9
9,4,10
13,6,2
17,5,4
23,3,4
6,9,8
23,8,7
20,1,9
13,19,1
9,7,4
17,14,5
18,20,7
21,20,3
5,13,9
18,21,4
18,18,3
16,11,0
4,21,9
7,10,5
15,18,4
14,10,7
21,10,3
2,1,9
19,24,8
13,17,0
17,10,6
19,20,9
11,0,6
10,8,5
12,2,3
23,20,2
15,10,2
12,17,1
10,17,6
14,18,1
16,13,10
16,10,10
14,17,5
19,6,7
4,0,0
15,11,5
10,15,2
23,10,3
4,9,5
8,16,7
0,3,0
4,14,5
5,21,7
2,22,8
15,15,9
2,10,1
11,8,5
20,18,9
24,21,1
23,6,7
19,23,4
0,21,10
0,1,2
1,15,1
10,8,5
15,18,9
2,13,9
13,19,5
8,14,6
24,23,9
23,4,3
17,8,1
0,18,9
21,11,8
24,5,8
3,7,5
19,23,3
3,16,5
21,23,4
3,14,3
11,2,1
7,2,7
12,0,5
23,5,6
23,1,2
13,13,8
8,19,10
0,10,6
11,21,0
15,1,3
18,8,6
3,15,0
10,16,0
7,18,10
18,4,8
0,20,5
17,7,10
22,5,6
23,13,10
0,5,8
20,19,9
20,24,8
13,0,4
12,1,4
21,18,9
1,15,3
2,19,2
12,4,8
17,6,1
21,15,1
24,24,8
16,20,3
7,13,0
20,12,9
8,12,2
4,20,9
11,10,8
17,10,8
19,6,3
8,24,1
10,1,9
6,11,5
3,4,3
11,4,3
1,3,6
8,3,2
3,12,6
5,18,10
23,8,6
21,21,9
2,2,3
24,20,1
9,1,8
18,1,2
16,1,10
2,17,8
3,7,6
22,5,7
13,8,4
6,9,6
20,12,0
2,24,10
16,1,3
3,11,6
7,10,4
0,1,8
7,14,4
7,18,7
1,24,2
18,13,9
18,19,8
0,1,5
10,17,0
22,5,2
14,10,9
5,6,4
7,1,8
17,10,7
21,0,9
10,1,4
13,1,0
15,8,4
18,11,0
13,12,7
20,24,5
0,20,3
16,19,9
20,5,6
4,19,6
2,18,2
22,4,0
16,24,8
4,3,7
1,24,0
